LibraryName,StartTime,EndTime,Reason
Miller Nichols Library,03-12-2016 11:00,03-12-2016 18:00,NA
Miller Nichols Library,03-13-2016 13:00,03-13-2016 23:00,NA
Miller Nichols Library,03-14-2016 07:30,03-14-2016 23:00,NA
Miller Nichols Library,03-15-2016 07:30,03-15-2016 23:00,NA
Miller Nichols Library,03-16-2016 07:30,03-16-2016 23:00,NA
Miller Nichols Library,03-17-2016 07:30,03-17-2016 23:00,NA
Miller Nichols Library,03-18-2016 07:30,03-18-2016 23:00,NA
Miller Nichols Library,03-19-2016 11:00,03-19-2016 18:00,NA
Miller Nichols Library,03-20-2016 13:00,03-20-2016 23:00,NA
Miller Nichols Library,03-21-2016 07:30,03-21-2016 23:00,NA
Miller Nichols Library,03-22-2016 07:30,03-22-2016 23:00,NA
Miller Nichols Library,03-23-2016 07:30,03-23-2016 23:00,NA
Miller Nichols Library,03-24-2016 07:30,03-24-2016 23:00,NA
Miller Nichols Library,03-25-2016 07:30,03-25-2016 23:00,NA
Miller Nichols Library,03-26-2016 11:00,03-26-2016 18:00,NA
Miller Nichols Library,03-27-2016 13:00,03-27-2016 23:00,NA
Miller Nichols Library,03-28-2016 07:30,03-28-2016 23:00,NA
Miller Nichols Library,03-29-2016 07:30,03-29-2016 23:00,NA
Miller Nichols Library,03-30-2016 07:30,03-30-2016 23:00,NA
Miller Nichols Library,03-31-2016 07:30,03-31-2016 23:00,NA
Miller Nichols Library,04-01-2016 07:30,04-01-2016 23:00,NA
Miller Nichols Library,04-02-2016 11:00,04-02-2016 18:00,NA
Miller Nichols Library,04-03-2016 13:00,04-03-2016 23:00,NA
Miller Nichols Library,04-04-2016 07:30,04-04-2016 23:00,NA
Miller Nichols Library,04-05-2016 07:30,04-05-2016 23:00,NA
Miller Nichols Library,04-06-2016 07:30,04-06-2016 23:00,NA
Miller Nichols Library,04-07-2016 07:30,04-07-2016 23:00,NA
Miller Nichols Library,04-08-2016 07:30,04-08-2016 23:00,NA
Miller Nichols Library,04-09-2016 11:00,04-09-2016 18:00,NA
Miller Nichols Library,04-10-2016 13:00,04-10-2016 23:00,NA
Miller Nichols Library,04-11-2016 07:30,04-11-2016 23:00,NA
Miller Nichols Library,04-12-2016 07:30,04-12-2016 23:00,NA
Miller Nichols Library,04-13-2016 07:30,04-13-2016 23:00,NA
Miller Nichols Library,04-14-2016 07:30,04-14-2016 23:00,NA
Miller Nichols Library,04-15-2016 07:30,04-15-2016 23:00,NA
Miller Nichols Library,04-16-2016 11:00,04-16-2016 18:00,NA
Miller Nichols Library,04-17-2016 13:00,04-17-2016 23:00,NA
Miller Nichols Library,04-18-2016 07:30,04-18-2016 23:00,NA
Miller Nichols Library,04-19-2016 07:30,04-19-2016 23:00,NA
Miller Nichols Library,04-20-2016 07:30,04-20-2016 23:00,NA
Miller Nichols Library,04-21-2016 07:30,04-21-2016 23:00,NA
Miller Nichols Library,04-22-2016 07:30,04-22-2016 23:00,NA
Miller Nichols Library,04-23-2016 11:00,04-23-2016 18:00,NA
Miller Nichols Library,04-24-2016 13:00,04-24-2016 23:00,NA
Miller Nichols Library,04-25-2016 07:30,04-25-2016 23:00,NA
Miller Nichols Library,04-26-2016 07:30,04-26-2016 23:00,NA
Miller Nichols Library,04-27-2016 07:30,04-27-2016 23:00,NA
Miller Nichols Library,04-28-2016 07:30,04-28-2016 23:00,NA
Miller Nichols Library,04-29-2016 07:30,04-29-2016 23:00,NA
Miller Nichols Library,04-30-2016 11:00,04-30-2016 18:00,NA
Miller Nichols Library,05-01-2016 13:00,05-01-2016 23:00,NA
Miller Nichols Library,05-02-2016 07:30,05-02-2016 23:00,NA
Miller Nichols Library,05-03-2016 07:30,05-03-2016 23:00,NA
Miller Nichols Library,05-04-2016 07:30,05-04-2016 23:00,NA
Miller Nichols Library,05-05-2016 07:30,05-05-2016 23:00,NA
Miller Nichols Library,05-06-2016 07:30,05-06-2016 23:00,NA
Miller Nichols Library,05-07-2016 11:00,05-07-2016 18:00,NA
Miller Nichols Library,05-08-2016 13:00,05-08-2016 23:00,NA
Miller Nichols Library,05-10-2016 07:30,05-10-2016 23:00,NA
Miller Nichols Library,05-11-2016 07:30,05-11-2016 23:00,NA
Miller Nichols Library,05-12-2016 07:30,05-12-2016 23:00,NA
Miller Nichols Library,05-13-2016 07:30,05-13-2016 23:00,NA
